omega,lambda=-0.125,lambda=-0.5,lambda=-0.75,lambda=-0.875
-5.069999999999999,0.14427521309325103,0.09946951489241983,0.07623984051103196,0.06692270761857762
-5.06,0.14458271549087762,0.10005637577692908,0.07675744033252656,0.06738807398529015
-5.05,0.1448926548408916,0.10065237094589113,0.0772840338235364,0.06786168269325726
-5.04,0.14520502287954445,0.1012576426820879,0.07781979308233797,0.06834369675904008
-5.029999999999999,0.14551981100399508,0.10187233622099198,0.07836489467979395,0.06883428358488294
-5.02,0.14583701026471882,0.1024965998140355,0.07891951979332454,0.06933361509611612
-5.01,0.14615661135784205,0.10313058479330178,0.07948385434561901,0.06984186788367253
-5.0,0.14647860461740422,0.10377444563766454,0.08005808914827571,0.07035922335193548
-4.99,0.146802980007548,0.10442834004040054,0.08064242005056904,0.07088586787214472
-4.9799999999999995,0.1471297271146406,0.10509242897830105,0.08123704809354991,0.07142199294159918
-4.97,0.14745883513932703,0.10576687678230667,0.08184217966969533,0.07196779534890639
-4.96,0.14779029288851814,0.1064518512096915,0.08245802668833384,0.07252347734554074
-4.95,0.1481240887673151,0.10714752351781992,0.08308480674708195,0.07308924682398522
-4.9399999999999995,0.14846021077087257,0.10785406853950114,0.0837227433095391,0.0736653175027455
-4.93,0.14879864647620342,0.1085716647599643,0.0843720658894991,0.07425190911853873
-4.92,0.14913938303392682,0.10930049439547854,0.08503301024194897,0.07484924762597567
-4.91,0.14948240715996342,0.11004074347363844,0.0857058185611371,0.07545756540506914
-4.8999999999999995,0.14982770512717894,0.11079260191533874,0.08639073968600719,0.07607710147691996
-4.89,0.15017526275698068,0.1115562636184565,0.08708802931330757,0.0767081017279485
-4.88,0.15052506541086924,0.11233192654326335,0.08779795021870093,0.07735081914305932
-4.87,0.1508770979819488,0.11311979279958341,0.08852077248621307,0.07800551404814546
-4.859999999999999,0.15123134488639925,0.11392006873571622,0.08925677374637757,0.0786724543623607
-4.85,0.15158779005491435,0.11473296502913895,0.0900062394234484,0.07935191586060933
-4.84,0.15194641692410915,0.11555869677900343,0.09076946299207211,0.08004418244672792
-4.83,0.15230720842790066,0.11639748360043894,0.0915467462438278,0.08074954643785638
-4.82,0.15267014698886594,0.11724954972067154,0.09233839956406523,0.08146830886052348
-4.81,0.15303521450958216,0.11811512407696828,0.09314474221949047,0.08220077975899921
-4.8,0.15340239236395237,0.1189944404164109,0.09396610265697142,0.08294727851649523
-4.79,0.1537716613885223,0.11988773739750327,0.09480281881405861,0.08370813418982746
-4.779999999999999,0.15414300187379296,0.12079525869361087,0.09565523844174008,0.08448368585818551
-4.77,0.1545163935555332,0.12171725309822937,0.09652371943997587,0.08527428298669075
-4.76,0.1548918156060988,0.12265397463207646,0.09740863020658534,0.08608028580546156
-4.75,0.15526924662576208,0.12360568265199387,0.09831035000008624,0.08690206570494213
-4.74,0.15564866463405883,0.12457264196164625,0.09922926931711826,0.08774000564829539
-4.7299999999999995,0.15603004706115708,0.12555512292399584,0.10016579028511279,0.08859450060170314
-4.72,0.15641337073925524,0.12655340157552866,0.10112032707090511,0.08946595798346432
-4.71,0.15679861189401412,0.1275677597422018,0.10209330630602154,0.09035479813283315
-4.7,0.15718574613603054,0.1285984851570751,0.10308516752940906,0.09126145479958979
-4.6899999999999995,0.15757474845235847,0.12964587157958446,0.10409636364841693,0.09218637565539575
-4.68,0.1579655931980845,0.13071021891640683,0.10512736141887925,0.09313002282804363
-4.67,0.15835825408796522,0.1317918333438603,0.1061786419451941,0.09409287345977733
-4.66,0.15875270418813275,0.13289102743177209,0.10725070120133745,0.09507542029092424
-4.6499999999999995,0.15914891590787708,0.13400812026874126,0.10834405057380327,0.0960781722701556
-4.64,0.15954686099151155,0.13514343758871095,0.10945921742750984,0.09710165519276728
-4.63,0.15994651051033074,0.13629731189875707,0.11059674569577031,0.09814641236845649
-4.62,0.1603478348546675,0.13747008260798635,0.11175719649547976,0.09921300532015541
-4.609999999999999,0.16075080372605868,0.13866209615742708,0.11294114876873608,0.10030201451557949
-4.6,0.1611553861295267,0.13987370615078146,0.11414919995217415,0.10141404013324405
-4.59,0.16156155036598732,0.14110527348589622,0.11538196667536425,0.1025497028648137
-4.58,0.16196926402479084,0.14235716648679062,0.11664008548969465,0.10370964475575759
-4.57,0.1623784939764074,0.14362976103606712,0.11792421362923908,0.10489453008640925
-4.56,0.16278920636526478,0.14492344070751245,0.11923502980518891,0.10610504629565685
-4.55,0.1632013666027482,0.14623859689867622,0.12057323503551641,0.10734190494962867
-4.54,0.16361493936037316,0.1475756289631984,0.12193955351162923,0.10860584275788816
-4.529999999999999,0.1640298885631396,0.1489349443426305,0.12333473350386849,0.10989762263980903
-4.52,0.1644461773830786,0.1503169586974761,0.12475954830781003,0.11121803484397194
-4.51,0.164863768233002,0.15172209603715223,0.12621479723343576,0.11256789812360746
-4.5,0.16528262276046513,0.15315078884854275,0.12770130663935508,0.11394806097130035
-4.49,0.16570270184195351,0.15460347822279177,0.12921993101438223,0.11535940291638348
